videoid,contentUrl,duration,page_dir,name
1006642732,https://ak.picdn.net/shutterstock/videos/1006642732/preview/stock-footage-caves-of-diros-greece.mp4,PT00H00M17S,128401_128450,"Caves of diros, greece"
9385223,https://ak.picdn.net/shutterstock/videos/9385223/preview/stock-footage-light-and-laser-effects-series-version-from-to.mp4,PT00H00M07S,075301_075350,Light and laser effects ( series 4 + version from 1 to 40 ) 
1047106582,https://ak.picdn.net/shutterstock/videos/1047106582/preview/stock-footage-black-man-in-dark-room-moves-portrait-of-young-man-with-naked-torso-and-perfect-figure.mp4,PT00H00M15S,001051_001100,Black man in dark room moves. portrait of young man with naked torso and perfect figure.
32757142,https://ak.picdn.net/shutterstock/videos/32757142/preview/stock-footage-greeting-season-concept-gimbal-shot-of-ornaments-on-a-big-christmas-tree-with-decorative-light-in.mp4,PT00H00M10S,107351_107400,Greeting season concept.gimbal shot of ornaments on a big christmas tree with decorative light in 4k (uhd)
7150576,https://ak.picdn.net/shutterstock/videos/7150576/preview/stock-footage-silhouette-of-balloons-rising-in-sky.mp4,PT00H00M30S,017201_017250,Silhouette of balloons rising in sky
18546278,https://ak.picdn.net/shutterstock/videos/18546278/preview/stock-footage-usa-little-girl-portrait-in-usa-in.mp4,PT00H00M04S,097401_097450,Usa - 1940: little girl portrait in usa in 1940
17088277,https://ak.picdn.net/shutterstock/videos/17088277/preview/stock-footage-denver-colorado-usa-june-splash-park-playground-in-urban-area-in-the-summer.mp4,PT00H00M20S,076001_076050,"Denver, colorado, usa-june 3, 2016. splash park playground in urban area in the summer."
1011217124,https://ak.picdn.net/shutterstock/videos/1011217124/preview/stock-footage-modern-d-printer-creates-the-first-layer-of-the-model.mp4,PT00H00M30S,084101_084150,Modern 3d printer creates the first layer of the model
22700728,https://ak.picdn.net/shutterstock/videos/22700728/preview/stock-footage-infographic-of-zucchini-with-vitamins-microelements-minerals-energy-calorie-and-component.mp4,PT00H00M20S,067301_067350,"Infographic of zucchini with vitamins, microelements minerals. energy, calorie and component"
1064712226,https://ak.picdn.net/shutterstock/videos/1064712226/preview/stock-footage-medium-timelapse-of-smart-looking-caucasian-young-tearful-woman-speaking-out-to-unrecognizable.mp4,PT00H00M13S,124701_124750,"Medium timelapse of smart-looking caucasian young tearful woman speaking out to unrecognizable psychotherapist with medical record. female patient sitting on couch in office, drinking water"
16232674,https://ak.picdn.net/shutterstock/videos/16232674/preview/stock-footage-giant-turtles-dipsochelys-gigantea-in-natural-habitat.mp4,PT00H00M18S,060751_060800,Giant turtles (dipsochelys gigantea) in natural habitat 
14253893,https://ak.picdn.net/shutterstock/videos/14253893/preview/stock-footage-the-tip-of-the-teepee-with-lots-of-snow-in-estonia-during-the-winter-season.mp4,PT00H00M09S,024301_024350,The tip of the teepee with lots of snow in estonia during the winter season
