videoid,contentUrl,duration,page_dir,name
1038935126,https://ak.picdn.net/shutterstock/videos/1038935126/preview/stock-footage-aerial-camera-tilt-up-looking-down-at-busy-highway-interchange-and-revealing-the-urban-area-horizon.mp4,PT00H00M12S,128451_128500,Aerial camera tilt up looking down at busy highway interchange and revealing the urban area horizon
1522114,https://ak.picdn.net/shutterstock/videos/1522114/preview/stock-footage-skiing-people.mp4,PT00H00M16S,054501_054550,Skiing people
1009084685,https://ak.picdn.net/shutterstock/videos/1009084685/preview/stock-footage-gazebo-inside-with-views-of-the-clear-sky-camera-movement-around.mp4,PT00H00M07S,187351_187400,"Gazebo inside, with views of the clear sky. camera movement around."
1030118942,https://ak.picdn.net/shutterstock/videos/1030118942/preview/stock-footage-guard-bites-his-nails-at-workplace-handsome-security-guard-in-surveillance-room.mp4,PT00H00M07S,128551_128600,Guard bites his nails at workplace. handsome security guard in surveillance room.
32309686,https://ak.picdn.net/shutterstock/videos/32309686/preview/stock-footage--k-woman-offering-advice-to-her-partner-as-he-works-on-the-laptop-at-home-slow-motion.mp4,PT00H00M26S,128551_128600,4k woman offering advice to her partner as he works on the laptop at home. slow motion.
23914645,https://ak.picdn.net/shutterstock/videos/23914645/preview/stock-footage-intranet-animated-word-cloud-text-design-animation.mp4,PT00H00M15S,017301_017350,"Intranet animated word cloud, text design animation."
21675766,https://ak.picdn.net/shutterstock/videos/21675766/preview/stock-footage-wallpaper-k-resolution-full-ultra-hd-vintage-universal-beautiful-background-with-animated-eastern.mp4,PT00H00M10S,032151_032200,Wallpaper 4k resolution full ultra hd. vintage universal beautiful background with animated eastern patterns. retro fashion backdrop with geometric ornament.
1024885985,https://ak.picdn.net/shutterstock/videos/1024885985/preview/stock-footage-water-falling-down-from-a-stone-wall-in-k-slow-motion-fps.mp4,PT00H00M11S,115801_115850,Water falling down from a stone wall in 4k slow motion 60fps
1037696633,https://ak.picdn.net/shutterstock/videos/1037696633/preview/stock-footage-the-man-standing-on-a-mountain-top-against-a-bright-sunrise-time-lapse.mp4,PT00H00M11S,074001_074050,The man standing on a mountain top against a bright sunrise. time lapse
8964154,https://ak.picdn.net/shutterstock/videos/8964154/preview/stock-footage-sand-beach-and-ocean-wave-south-male-atoll-maldives.mp4,PT00H00M18S,041751_041800,"Sand beach and ocean wave, south male atoll. maldives"
28899232,https://ak.picdn.net/shutterstock/videos/28899232/preview/stock-footage-industrial-power-station-with-smoke-towers-good-video-for-energy-pollution-climate-change-and.mp4,PT00H00M20S,021351_021400,"Industrial power station with smoke towers. good video for energy, pollution, climate change and environmental issues"
