videoid,contentUrl,duration,page_dir,name
5908934,https://ak.picdn.net/shutterstock/videos/5908934/preview/stock-footage-pretty-brunette-relaxing-on-the-sofa-watching-tv-at-home-in-the-living-room.mp4,PT00H00M14S,187501_187550,Pretty brunette relaxing on the sofa watching tv at home in the living room
1036010363,https://ak.picdn.net/shutterstock/videos/1036010363/preview/stock-footage-tan-carpet-gets-steam-cleaned-with-vacuum-moving-in-and-out-of-the-shot-k-tan-carpet-cleaned-with.mp4,PT00H00M10S,199151_199200,Tan carpet gets steam cleaned with vacuum moving in and out of the shot 4k. tan carpet cleaned with steam cleaner/vacuum by professional carpet cleaner.
15210493,https://ak.picdn.net/shutterstock/videos/15210493/preview/stock-footage-children-playing-on-fabric.mp4,PT00H00M20S,077401_077450,Children playing on fabric
558667,https://ak.picdn.net/shutterstock/videos/558667/preview/stock-footage-glowing-lines-background.mp4,PT00H00M08S,070251_070300,Glowing lines background
1045247344,https://ak.picdn.net/shutterstock/videos/1045247344/preview/stock-footage-middletown-pennsylvania-toddler-in-blue-hat-and-coat-standing-outside-smiling-girl-and-woman.mp4,PT00H00M05S,021051_021100,Middletown pennsylvania-1975: toddler in blue hat and coat standing outside smiling girl and woman sitting by lake
11270129,https://ak.picdn.net/shutterstock/videos/11270129/preview/stock-footage-waterloo-ontario-canada-august-marching-bands-drums-corps-and-crowds-on-university-college.mp4,PT00H00M18S,192501_192550,"Waterloo, ontario canada august 2015 marching bands drums corps and crowds on university college football field
"
1010282828,https://ak.picdn.net/shutterstock/videos/1010282828/preview/stock-footage-happy-family-rolling-a-trolley-with-products-along-thai-supermarket-looking-around-talking-and.mp4,PT00H00M17S,115251_115300,"Happy family rolling a trolley with products along thai supermarket. looking around, talking and smiling. little girl sitting in cart."
1018607899,https://ak.picdn.net/shutterstock/videos/1018607899/preview/stock-footage-tree-crows-against-clear-blue-sky-on-sunny-autumn-day.mp4,PT00H00M18S,198751_198800,Tree crows against clear blue sky on sunny autumn day
1026984833,https://ak.picdn.net/shutterstock/videos/1026984833/preview/stock-footage-close-pov-reverse-dolly-shot-of-three-sparkling-glasses-tumblers-on-a-wet-granite-surface-each.mp4,PT00H00M10S,108801_108850,"Close pov reverse dolly shot of three sparkling glasses / tumblers on a wet granite surface, each containing a large piece of ice, then orangeade (orange soda) being poured."
15721231,https://ak.picdn.net/shutterstock/videos/15721231/preview/stock-footage-smart-city-technology-concept-young-man-using-modern-urban-application-on-big-touch-screen.mp4,PT00H00M10S,014251_014300,"Smart city technology concept, young man using modern urban application on big touch screen. touchscreen application in cafe."
25832462,https://ak.picdn.net/shutterstock/videos/25832462/preview/stock-footage-wooden-spa-tub.mp4,PT00H00M05S,147501_147550,Wooden spa tub
14818219,https://ak.picdn.net/shutterstock/videos/14818219/preview/stock-footage-white-stray-cat-walking-on-the-windowsill-in-the-house.mp4,PT00H00M14S,138301_138350,White stray cat walking on the windowsill in the house
1051235407,https://ak.picdn.net/shutterstock/videos/1051235407/preview/stock-footage-corona-virus-covid-world-map-global-pandemic-outbreak-map-map-of-virus-spreading-throughout.mp4,PT00H00M14S,125201_125250,Corona virus covid-19 world map. global pandemic outbreak map. map of virus spreading throughout the world. red zones spread area of virus. animation in 4k resolution. day version.
1301734,https://ak.picdn.net/shutterstock/videos/1301734/preview/stock-footage-clouds-passing-over-the-rainy-sky-in-the-afternoon.mp4,PT00H00M10S,172451_172500,Clouds passing over the rainy sky in the afternoon.
31525945,https://ak.picdn.net/shutterstock/videos/31525945/preview/stock-footage-bull-shiras-moose-in-the-fall-rut.mp4,PT00H00M15S,111101_111150,Bull shiras moose in the fall rut
1016436550,https://ak.picdn.net/shutterstock/videos/1016436550/preview/stock-footage-pino-canario-pinus-canariensis-el-pilar-el-paso-la-palma-canary-islands-spain-europe.mp4,PT00H00M16S,125251_125300,"Pino canario (pinus canariensis),  , el pilar, el paso, la palma, canary islands, spain, europe"
31569946,https://ak.picdn.net/shutterstock/videos/31569946/preview/stock-footage-young-woman-in-bad-mood-reluctant-to-talk-to-boyfriend-upset-and-jealous.mp4,PT00H00M14S,026701_026750,"Young woman in bad mood reluctant to talk to boyfriend, upset and jealous"
1017886138,https://ak.picdn.net/shutterstock/videos/1017886138/preview/stock-footage-close-up-of-cute-kitten-in-woman-s-hands-pretty-woman-holding-a-cat-closely-to-the-camera-indoor.mp4,PT00H00M08S,173351_173400,Close up of cute kitten in woman's hands. pretty woman holding a cat closely to the camera. indoor. adorable kitty
3743174,https://ak.picdn.net/shutterstock/videos/3743174/preview/stock-footage-red-fox-stands-in-open-open-area-at-forest-edge-foxes-are-mainly-active-at-night.mp4,PT00H00M28S,011101_011150,Red fox stands in open open area at forest edge. foxes are mainly active at night.
1022389240,https://ak.picdn.net/shutterstock/videos/1022389240/preview/stock-footage-tracking-shot-of-cute-baby-boy-sitting-on-bed-at-home-and-playing-on-digital-tablet.mp4,PT00H00M10S,076101_076150,Tracking shot of cute baby boy sitting on bed at home and playing on digital tablet
2326895,https://ak.picdn.net/shutterstock/videos/2326895/preview/stock-footage-an-egret-flies-to-his-nest-with-a-branch-to-build-its-nest.mp4,PT00H00M09S,015601_015650,An egret flies to his nest with a branch to build its nest
1042749115,https://ak.picdn.net/shutterstock/videos/1042749115/preview/stock-footage-female-hands-slicing-carrots-in-the-kitchen-on-a-cutting-board.mp4,PT00H00M13S,041701_041750,Female hands slicing carrots in the kitchen on a cutting board
1050782965,https://ak.picdn.net/shutterstock/videos/1050782965/preview/stock-footage-azalea-flower-in-japan-landscape.mp4,PT00H00M10S,015651_015700,Azalea flower in japan landscape
1010883053,https://ak.picdn.net/shutterstock/videos/1010883053/preview/stock-footage-train-passing-near-by-erzurum-turkey.mp4,PT00H00M11S,103101_103150,"Train passing near by erzurum,turkey 22.03.2018"
1034002637,https://ak.picdn.net/shutterstock/videos/1034002637/preview/stock-footage-batu-kawan-penang-malaysia-sunset-near-jetty.mp4,PT00H00M15S,102901_102950,"Batu kawan, penang / malaysia - 12 09 2014: sunset near jetty."
19836445,https://ak.picdn.net/shutterstock/videos/19836445/preview/stock-footage-man-running-with-an-ax.mp4,PT00H00M16S,043151_043200,Man running with an ax
1059654809,https://ak.picdn.net/shutterstock/videos/1059654809/preview/stock-footage-dusseldorf-germany-july-lufthansa-airbus-a-d-aidp-taxiing-to-runway-for-departure.mp4,PT00H00M20S,047201_047250,"Dusseldorf, germany - july 22, 2017: lufthansa airbus a321 d-aidp taxiing to runway for departure. dusseldorf airport, germany"
28116496,https://ak.picdn.net/shutterstock/videos/28116496/preview/stock-footage-pretty-young-girl-walks-along-the-waterfront-using-smartphone-bridge-and-vintage-wall-of-wild.mp4,PT00H00M20S,031751_031800,Pretty young girl walks along the waterfront using smartphone. bridge and vintage wall of wild stone in the background
1024402715,https://ak.picdn.net/shutterstock/videos/1024402715/preview/stock-footage-turul-bird-on-the-royal-castle-at-sunset-mythological-bird-of-prey-mostly-depicted-as-a-hawk.mp4,PT00H00M18S,073101_073150,"Turul bird on the royal castle at sunset, mythological bird of prey, mostly depicted as a hawk, vulture or falcon, the national symbol of modern hungary and transylvania, budapest"
19972054,https://ak.picdn.net/shutterstock/videos/19972054/preview/stock-footage-hood-river-valley-orchard-aerial-drone-footage.mp4,PT00H00M25S,137501_137550,Hood river valley orchard aerial drone footage
1016950294,https://ak.picdn.net/shutterstock/videos/1016950294/preview/stock-footage-delicious-sliced-rye-bread-and-spread-out-on-a-wooden-table.mp4,PT00H00M07S,141901_141950,Delicious sliced rye bread and spread out on a wooden table
1025349998,https://ak.picdn.net/shutterstock/videos/1025349998/preview/stock-footage--geometric-lines-alpha-transition-wipes-masks.mp4,PT00H00M23S,185751_185800,12 geometric lines alpha transition wipes masks
1029983876,https://ak.picdn.net/shutterstock/videos/1029983876/preview/stock-footage-female-weaver-bird-inspecting-a-nest.mp4,PT00H00M12S,128651_128700,Female weaver bird inspecting a nest.
1046700055,https://ak.picdn.net/shutterstock/videos/1046700055/preview/stock-footage-new-delhi-india-january-young-tightrope-walker-on-the-very-crowded-streets-of-old.mp4,PT00H00M12S,086001_086050,"New delhi, india - january 11, 2019: young tightrope walker on the very crowded streets of old delhi in india."
14267972,https://ak.picdn.net/shutterstock/videos/14267972/preview/stock-footage--k-aerial-flights-over-barrier-lake-in-spain-embalse-de-zahara-andalusia-shots-are-straight-out.mp4,PT00H00M28S,117051_117100,"4k aerial, flights over barrier lake in spain, embalse de zahara, andalusia. shots are straight out of the camera, no recompression. graded and stabilzed versions in my portfolio
"
2262803,https://ak.picdn.net/shutterstock/videos/2262803/preview/stock-footage-guy-and-girl-sitting-on-the-sofa-chatting-and-having-tea.mp4,PT00H00M25S,058601_058650,"Guy and girl sitting on the sofa, chatting and having tea"
1011929351,https://ak.picdn.net/shutterstock/videos/1011929351/preview/stock-footage-onion-harvest-top-view.mp4,PT00H00M09S,097501_097550,Onion harvest top view
